Movie_Title,YR_Released,Rating,show_id,type,Duration
Coach Carter,2005,PG-13,s1439,Movie,137
90 ML,2019,TV-MA,s144,Movie,123
Coach Snoop,2018,TV-MA,s1440,TV Show,1
Cobra Kai,2021,TV-14,s1441,TV Show,3
Cocaine,2005,TV-14,s1442,TV Show,1
Cocaine Coast,2018,TV-MA,s1443,TV Show,1
Coco y Raulito: Carrusel de ternura,2018,TV-MA,s1444,Movie,57
Cocomelon,2020,TV-Y,s1445,TV Show,2
Cocomong,2015,TV-Y,s1446,TV Show,2
Code 8,2019,TV-MA,s1447,Movie,98
Code Geass: Lelouch of the Rebellion,2008,TV-MA,s1448,TV Show,2
Code Lyoko,2007,TV-Y7,s1449,TV Show,4
93 Days,2016,TV-PG,s145,Movie,121
Code Name: The Cleaner,2007,PG-13,s1450,Movie,91
Coffee & Kareem,2020,TV-MA,s1451,Movie,88
Coffee for All,2017,TV-PG,s1452,Movie,69
Coffee with D,2017,TV-PG,s1453,Movie,120
Coin Heist,2017,TV-14,s1454,Movie,98
Cold Case Files,2017,TV-14,s1455,TV Show,1
Cold Case Files Classic,1999,TV-MA,s1456,TV Show,1
Cold Feet,2019,TV-14,s1457,Movie,98
Cold Harbour,2013,TV-MA,s1458,Movie,73
Colin Quinn: Red State Blue State,2019,TV-14,s1459,Movie,66
A 2nd Chance,2011,PG,s146,Movie,95
Colin Quinn: The New York Story,2016,TV-MA,s1460,Movie,62
Colin Quinn: Unconstitutional,2015,TV-MA,s1461,Movie,56
Colkatay Columbus,2016,TV-14,s1462,Movie,118
Collateral,2018,TV-MA,s1463,TV Show,1
College Romance,2018,TV-MA,s1464,TV Show,1
Colonia,2015,R,s1465,Movie,110
Colony,2018,TV-14,s1466,TV Show,3
Color of Woman,2012,TV-PG,s1467,TV Show,1
Colours of Passion,2008,TV-14,s1468,Movie,114
Come and Find Me,2016,R,s1469,Movie,112
A 3 Minute Hug,2019,TV-PG,s147,Movie,28
Come Sunday,2018,TV-14,s1470,Movie,105
Comedians in Cars Getting Coffee,2019,TV-14,s1471,TV Show,6
COMEDIANS of the world,2019,TV-MA,s1472,TV Show,13
Comedy Bang! Bang!,2016,TV-14,s1473,TV Show,5
Comedy High School,2018,TV-14,s1474,TV Show,1
Command and Control,2017,TV-PG,s1475,Movie,92
Community,2015,TV-14,s1476,TV Show,6
Como caído del cielo,2019,TV-14,s1477,Movie,117
Company,2002,TV-MA,s1478,Movie,137
Compulsion,2016,TV-MA,s1479,Movie,84
A Babysitter's Guide to Monster Hunting,2020,TV-PG,s148,Movie,99
Conan Without Borders,2018,TV-14,s1480,TV Show,1
Concrete Football,2016,TV-MA,s1481,Movie,52
Concussion,2013,R,s1482,Movie,96
Conjuring Spirit,2014,TV-MA,s1483,Movie,112
Connected,2020,TV-14,s1484,TV Show,1
Conor McGregor: Notorious,2017,R,s1485,Movie,90
Consequences,2014,TV-MA,s1486,Movie,106
Consequences ,2014,TV-MA,s1487,Movie,106
Conspiracy,2015,TV-14,s1488,TV Show,1
Containment,2016,TV-MA,s1489,TV Show,1
A Bad Moms Christmas,2017,R,s149,Movie,104
Contract,2008,TV-14,s1490,Movie,116
Control Z,2020,TV-MA,s1491,TV Show,1
Conversations with a Killer: The Ted Bundy Tapes,2019,TV-MA,s1492,TV Show,1
Convict,2014,TV-14,s1493,Movie,97
Cook Off,2017,TV-G,s1494,Movie,100
Cooked,2016,TV-14,s1495,TV Show,1
Cooked with Cannabis,2020,TV-MA,s1496,TV Show,1
Cooking on High,2018,TV-MA,s1497,TV Show,1
Cool Hand Luke,1967,TV-14,s1498,Movie,127
Cop and a Half: New Recruit,2017,PG,s1499,Movie,96
3022,2019,R,s15,Movie,91
A Beautiful Life,2011,TV-14,s150,Movie,122
Cop Car,2015,R,s1500,Movie,88
Cop Watchers,2016,TV-MA,s1501,Movie,45
Cops and Robbers,2020,PG-13,s1502,Movie,8
Coraline,2009,PG,s1503,Movie,101
"Coronavirus, Explained",2020,TV-PG,s1504,TV Show,1
Cosmos Laundromat: First Cycle,2015,TV-MA,s1505,Movie,12
Countdown to Death: Pablo Escobar,2017,TV-MA,s1506,Movie,69
Counterfeiting in Suburbia,2018,TV-14,s1507,Movie,88
Counterpunch,2017,TV-MA,s1508,Movie,91
Country Ever After,2020,TV-PG,s1509,TV Show,1
A Billion Colour Story,2016,TV-14,s151,Movie,104
Couple of Days,2016,TV-14,s1510,Movie,103
Couples Counseling,2016,TV-MA,s1511,Movie,88
Court Justice,2017,TV-MA,s1512,TV Show,1
Covered: Alive in Asia,2016,TV-G,s1513,Movie,75
Cowspiracy: The Sustainability Secret,2014,TV-PG,s1514,Movie,90
"Crack: Cocaine, Corruption & Conspiracy",2021,TV-MA,s1515,Movie,90
Cracked Up: The Darrell Hammond Story,2018,TV-MA,s1516,Movie,97
Craig Ferguson: Tickle Fight,2017,TV-MA,s1517,Movie,67
Crash,2004,R,s1518,Movie,112
Crash Landing on You,2019,TV-14,s1519,TV Show,1
A Boy Called Po,2016,PG,s152,Movie,94
Crashing,2016,TV-MA,s1520,TV Show,1
Crazy Awesome Teachers,2020,TV-PG,s1521,Movie,102
Crazy Beautiful You,2015,TV-14,s1522,Movie,114
Crazy Delicious,2020,TV-PG,s1523,TV Show,1
Crazy Ex-Girlfriend,2019,TV-MA,s1524,TV Show,4
Crazy people,2018,TV-MA,s1525,Movie,107
"Crazy, Lovely, Cool",2018,TV-MA,s1526,TV Show,1
Crazyhead,2016,TV-MA,s1527,TV Show,1
CRD,2016,TV-MA,s1528,Movie,110
Creating The Queen's Gambit,2021,TV-14,s1529,Movie,14
A Boy Name Flora A,2017,TV-MA,s153,TV Show,1
Creators,2015,TV-Y,s1530,TV Show,2
Creep,2014,R,s1531,Movie,78
Creep 2,2017,TV-MA,s1532,Movie,80
Creeped Out,2019,TV-PG,s1533,TV Show,2
Cricket Fever: Mumbai Indians,2019,TV-MA,s1534,TV Show,1
Crime Diaries: Night Out,2019,TV-MA,s1535,TV Show,1
Crime Diaries: The Candidate,2019,TV-MA,s1536,TV Show,1
Crime Time,2017,TV-MA,s1537,TV Show,1
Criminal Minds,2017,TV-14,s1538,TV Show,12
Criminal: France,2019,TV-MA,s1539,TV Show,1
A Bridge Too Far,1977,PG,s154,Movie,176
Criminal: Germany,2019,TV-MA,s1540,TV Show,1
Criminal: Spain,2019,TV-MA,s1541,TV Show,1
Criminal: UK,2020,TV-MA,s1542,TV Show,2
Crip Camp: A Disability Revolution,2020,R,s1543,Movie,108
Cristela Alonzo: Lower Classy,2017,TV-MA,s1544,Movie,67
Cristina,2016,TV-14,s1545,Movie,40
Crossroads: One Two Jaga,2018,TV-14,s1546,Movie,81
"Crouching Tiger, Hidden Dragon",2000,PG-13,s1547,Movie,120
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,PG-13,s1548,Movie,101
Cuba and the Cameraman,2017,TV-14,s1549,Movie,114
A California Christmas,2020,PG-13,s155,Movie,107
Cuckoo,2019,TV-MA,s1550,TV Show,5
Cuddle Weather,2019,TV-MA,s1551,Movie,95
Cult of Chucky,2017,R,s1552,Movie,90
Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2019,TV-PG,s1553,Movie,45
Cupcake & Dino - General Services,2019,TV-Y7,s1554,TV Show,2
Curon,2020,TV-MA,s1555,TV Show,1
Cursed,2020,TV-MA,s1556,TV Show,1
Curtiz,2018,TV-MA,s1557,Movie,99
Cut Bank,2014,R,s1558,Movie,93
Cutie and the Boxer,2013,R,s1559,Movie,82
A Champion Heart,2018,G,s156,Movie,90
Cuties,2020,TV-MA,s1560,Movie,96
Cyborg 009 VS Devilman,2015,TV-MA,s1561,TV Show,1
Cyborg 009: Call of Justice,2017,TV-14,s1562,TV Show,1
Cycle,2018,TV-PG,s1563,Movie,96
D.L. Hughley: Clear,2014,TV-MA,s1564,Movie,59
D.L. Hughley: Contrarian,2018,TV-MA,s1565,Movie,58
Déjà Vu,2013,TV-14,s1566,TV Show,1
Dérè: An African Tale,2016,TV-PG,s1567,TV Show,1
Düğün Dernek,2013,TV-PG,s1568,Movie,102
Dügün Dernek 2: Sünnet,2015,TV-MA,s1569,Movie,107
A Chaster Marriage,2016,TV-14,s157,Movie,94
Da 5 Bloods,2020,R,s1570,Movie,156
Da Kath & Kim Code,2005,TV-PG,s1571,Movie,82
Daagdi Chaawl,2015,TV-14,s1572,Movie,118
Dabbe 5: Zehr-i Cin,2014,TV-MA,s1573,Movie,133
Dabbe 6: The Return,2015,TV-MA,s1574,Movie,153
Dabbe: The Possession,2013,TV-MA,s1575,Movie,135
Dad,1989,PG,s1576,Movie,117
Dad Wanted,2020,TV-14,s1577,Movie,103
Dad's Army,1977,TV-PG,s1578,TV Show,10
Daddy Day Care,2003,PG,s1579,Movie,93
A Choo,2020,TV-14,s158,Movie,101
Daddy Issues,2019,TV-MA,s1580,Movie,82
Daemonium,2015,NR,s1581,Movie,115
Daffedar,2017,TV-14,s1582,Movie,151
Dagh Ujala,2015,TV-MA,s1583,Movie,103
Dallas Buyers Club,2013,R,s1584,Movie,117
Damnation,2017,TV-MA,s1585,TV Show,1
"Dana Carvey: Straight White Male, 60",2016,TV-MA,s1586,Movie,64
Dance & Sing with True,2018,TV-Y,s1587,TV Show,1
Dance Academy,2013,TV-PG,s1588,TV Show,1
Dance Academy: The Comeback,2017,TV-PG,s1589,Movie,100
A Christmas Catch,2018,TV-G,s159,Movie,87
Dance Dreams: Hot Chocolate Nutcracker,2020,TV-G,s1590,Movie,81
Dancing Angels,2016,TV-PG,s1591,TV Show,1
Dancing Queen,2018,TV-14,s1592,TV Show,1
Dancing Quietly,2016,TV-MA,s1593,Movie,70
Dancing with the Birds,2019,TV-PG,s1594,Movie,52
Dandy,2016,TV-MA,s1595,TV Show,1
Dangal,2016,TV-PG,s1596,Movie,161
Danger Mouse,2016,TV-Y7,s1597,TV Show,2
Danger Mouse: Classic Collection,1992,TV-Y,s1598,TV Show,10
Dangerous Lies,2020,TV-14,s1599,Movie,97
01-Oct,2014,TV-14,s16,Movie,149
A Christmas Prince,2017,TV-PG,s160,Movie,92
Dangerous Roads,2012,TV-MA,s1600,TV Show,2
Daniel Sloss: Live Shows,2018,TV-MA,s1601,TV Show,1
Daniel Sosa: Maleducado,2019,TV-MA,s1602,Movie,55
Daniel Sosa: Sosafado,2017,TV-MA,s1603,Movie,78
Danny Says,2015,TV-MA,s1604,Movie,103
Dante's Peak,1997,PG-13,s1605,Movie,108
Danur: I Can See Ghosts,2017,TV-MA,s1606,Movie,75
Dany Boon: Des Hauts De France,2018,TV-MA,s1607,Movie,113
Darc,2018,TV-MA,s1608,Movie,98
Dare Me,2019,TV-MA,s1609,TV Show,1
A Christmas Prince: The Royal Baby,2019,TV-PG,s161,Movie,85
Dare to Be Wild,2015,TV-PG,s1610,Movie,100
Dark,2020,TV-MA,s1611,TV Show,3
Dark Chocolate (Bengali Version),2016,TV-MA,s1612,Movie,91
Dark Crimes,2016,R,s1613,Movie,93
Dark Desire,2020,TV-MA,s1614,TV Show,1
Dark Forces,2020,TV-MA,s1615,Movie,81
Dark Light,2019,TV-MA,s1616,Movie,90
Dark Matter,2017,TV-PG,s1617,TV Show,3
Dark Places,2015,R,s1618,Movie,113
Dark Skies,2013,PG-13,s1619,Movie,97
A Christmas Prince: The Royal Wedding,2018,TV-PG,s162,Movie,93
Dark Tourist,2018,TV-MA,s1620,TV Show,1
Dark Waters,1956,TV-14,s1621,Movie,104
Darna Mana Hai,2003,TV-MA,s1622,Movie,116
Darr Sabko Lagta Hai,2015,TV-MA,s1623,TV Show,1
Darra,2016,TV-14,s1624,Movie,121
DASH & LILY,2020,TV-14,s1625,TV Show,1
Dating Around,2020,TV-MA,s1626,TV Show,2
Dating Around: Brazil,2020,TV-14,s1627,TV Show,1
Daughters of Destiny,2017,TV-14,s1628,TV Show,1
Daughters of the Dust,1991,NR,s1629,Movie,112
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,2016,TV-Y7,s163,Movie,22
Dave Chappelle,2017,TV-MA,s1630,TV Show,1
Dave Chappelle: Equanimity & The Bird Revelation,2017,TV-MA,s1631,TV Show,1
Dave Chappelle: Sticks & Stones,2019,TV-MA,s1632,Movie,66
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,2020,TV-MA,s1633,Movie,85
David Attenborough: A Life on Our Planet,2020,PG,s1634,Movie,84
David Batra: Elefanten i rummet,2020,TV-MA,s1635,Movie,77
David Brent: Life on the Road,2016,TV-MA,s1636,Movie,97
David Cross: Making America Great Again!,2016,TV-MA,s1637,Movie,73
David Foster: Off the Record,2019,TV-MA,s1638,Movie,107
Dawai Asmara,2016,TV-14,s1639,TV Show,1
A Cinderella Story,2004,PG,s164,Movie,95
Dawn of the Croods,2017,TV-Y7,s1640,TV Show,4
Dawson's Creek,2002,TV-14,s1641,TV Show,6
Day and Night,2017,TV-MA,s1642,TV Show,1
Day of the Dead: Bloodline,2018,R,s1643,Movie,91
Daybreak,2019,TV-MA,s1644,TV Show,1
Days We Stared at the Sun,2017,TV-MA,s1645,TV Show,2
Dayveon,2017,TV-MA,s1646,Movie,76
DC Super Hero Girls,2019,TV-Y7,s1647,TV Show,1
DC's Legends of Tomorrow,2020,TV-14,s1648,TV Show,5
De Film van Dylan Haegens,2018,TV-PG,s1649,Movie,81
A Cinderella Story: Christmas Wish,2019,PG,s165,Movie,86
De Palma,2015,R,s1650,Movie,110
Dead in a Week (Or Your Money Back),2018,TV-MA,s1651,Movie,90
Dead Kids,2019,TV-MA,s1652,Movie,94
Dead Set,2008,TV-MA,s1653,TV Show,1
Dead to Me,2020,TV-MA,s1654,TV Show,2
Deadcon,2019,TV-14,s1655,Movie,78
Deadline: Sirf 24 Ghante,2006,TV-14,s1656,Movie,97
Deadly Scholars,2018,TV-14,s1657,Movie,86
Deadly Switch,2019,TV-PG,s1658,Movie,86
Deadwind,2020,TV-MA,s1659,TV Show,2
A Clockwork Orange,1971,R,s166,Movie,137
Deaf U,2020,TV-MA,s1660,TV Show,1
Dean,2016,PG-13,s1661,Movie,94
Dear Dad,2016,TV-14,s1662,Movie,83
Dear Dracula,2012,TV-Y7-FV,s1663,Movie,43
Dear Ex,2018,TV-MA,s1664,Movie,100
Dear My Friends,2016,TV-MA,s1665,TV Show,1
Dear Santa,2011,TV-PG,s1666,Movie,92
Dear White People,2019,TV-MA,s1667,TV Show,3
Dear Zindagi,2016,TV-14,s1668,Movie,149
Death at a Funeral,2010,R,s1669,Movie,93
A Dangerous Woman,1993,R,s167,Movie,101
Death by Magic,2018,TV-PG,s1670,TV Show,1
Death Can Wait,2020,TV-14,s1671,Movie,91
Death House,2017,R,s1672,Movie,88
Death Note,2017,TV-MA,s1673,Movie,100
Death of Me,2020,R,s1674,Movie,94
Death Race: Beyond Anarchy,2017,R,s1675,Movie,111
Death to 2020,2020,TV-MA,s1676,Movie,71
Deathgrip,2017,TV-MA,s1677,Movie,53
Dedemin Fisi,2016,TV-14,s1678,Movie,101
Dedh Ishqiya,2014,TV-14,s1679,Movie,146
A Fairly Odd Summer,2014,TV-Y7,s168,Movie,68
Deep,2017,PG,s1680,Movie,93
Deep Undercover Collection,2017,TV-MA,s1681,TV Show,3
Deep Water,2016,TV-MA,s1682,TV Show,1
Deewana Main Deewana,2013,TV-14,s1683,Movie,107
Deewangee,2002,TV-MA,s1684,Movie,156
Def Comedy Jam 25,2017,TV-MA,s1685,Movie,82
Defiance,2008,R,s1686,Movie,137
Defying the Nazis: The Sharps' War,2016,TV-14,s1687,Movie,79
Degrassi: Next Class,2017,TV-14,s1688,TV Show,4
Deidra & Laney Rob a Train,2017,TV-14,s1689,Movie,92
A Fall from Grace,2020,TV-MA,s169,Movie,121
Delhi 6,2009,TV-14,s1690,Movie,128
Delhi Belly,2011,TV-MA,s1691,Movie,101
Delhi Crime,2019,TV-MA,s1692,TV Show,1
Deliha,2014,TV-14,s1693,Movie,102
Deliha 2,2018,TV-PG,s1694,Movie,102
Delirium,2018,R,s1695,Movie,96
DeMarcus Family Rules,2020,TV-14,s1696,TV Show,1
Demetri Martin: Live (At the Time),2015,TV-MA,s1697,Movie,62
Demetri Martin: The Overthinker,2018,TV-MA,s1698,Movie,56
Democrats,2014,NR,s1699,Movie,99
09-Feb,2018,TV-14,s17,TV Show,1
A Family Affair,2015,TV-PG,s170,Movie,111
Demon's Path,2018,TV-14,s1700,TV Show,1
Demonic,2015,R,s1701,Movie,83
Den of Thieves,2018,R,s1702,Movie,140
Denis Leary: No Cure For Cancer,1992,R,s1703,Movie,62
Dennis and Gnasher Unleashed,2017,TV-Y,s1704,TV Show,1
Deon Cole: Cole Hearted,2019,TV-MA,s1705,Movie,70
DeRay Davis: How to Act Black,2017,TV-MA,s1706,Movie,66
Derek,2015,TV-MA,s1707,TV Show,3
Derren Brown: Miracle,2018,TV-MA,s1708,Movie,74
Derren Brown: Sacrifice,2018,TV-MA,s1709,Movie,50
A Family Man,2016,R,s171,Movie,110
Derren Brown: The Push,2018,TV-MA,s1710,Movie,69
Derry Girls,2019,TV-MA,s1711,TV Show,2
Designated Survivor,2019,TV-MA,s1712,TV Show,3
Designated Survivor: 60 Days,2019,TV-14,s1713,TV Show,1
Desire,2017,TV-MA,s1714,Movie,94
Desolate,2018,TV-MA,s1715,Movie,88
Desolation,2017,TV-MA,s1716,Movie,76
